v,a,std
0.0,0.0,0.0
0.5,-2.049019047229626,1.6319121133397778
1.0,-2.6020386034453766,0.6007406227789932
1.5,-2.237614431225917,0.3700657955761334
2.0,-1.9924876113979642,0.5880786401870768
2.5,-1.5947269266311586,0.49802739263798446
3.0,-1.1909109384903207,0.46108653729275817
3.5,-0.7860222648555626,0.3928014547313022
4.0,-0.6108910633942108,0.059241725572488406
4.5,-0.41434476125634667,0.08516046185296616
5.0,-0.22452434451591524,0.17284180298360477
5.5,-0.011376367808596667,0.15256167678580693
6.0,0.16466456880725316,0.1852417973154269
