v,a,std
0.0,0.0,0.0
0.5,-1.038062074415269,0.7828039950897226
1.0,-1.109795699776084,0.15177151518251714
1.5,-1.0042779751606548,0.16373644818672414
2.0,-0.7901979260453704,0.1877559715025513
2.5,-0.5265564416935248,0.14141089675859883
3.0,-0.3944979455966648,0.136097739747094
3.5,-0.2635133301548399,0.15172996754458282
4.0,-0.21403006872530378,0.08424696810479441
4.5,-0.12275495989392143,0.058908960407245
5.0,-0.06431737985495006,0.051794401098046984
5.5,-0.007168479140454499,0.054765707997958164
6.0,0.05122310576960537,0.05885095176819335
